Ref,Val,Package,PosX,PosY,Rot,Side
"C8","100n","C_0402_1005Metric",221.000000,-90.000000,180.000000,bottom
"C13","100n","C_0402_1005Metric",223.000000,-97.500000,0.000000,bottom
"C14","100n","C_0402_1005Metric",225.197517,-96.791394,180.000000,bottom
"C15","10u","C_0402_1005Metric",230.500000,-92.000000,0.000000,bottom
"C16","100n","C_0402_1005Metric",232.480000,-90.000000,180.000000,bottom
"C17","10u","C_0402_1005Metric",232.500000,-88.000000,180.000000,bottom
"C18","4.7u","C_0402_1005Metric",230.500000,-100.500000,-90.000000,bottom
"C19","4.7u","C_0402_1005Metric",230.500000,-102.500000,90.000000,bottom
"D1","LED","LED_0402_1005Metric",234.500000,-88.000000,180.000000,bottom
"D2","LED","LED_0402_1005Metric",228.500000,-103.500000,0.000000,bottom
"D3","B0540WS","D_SOD-323",228.000000,-97.500000,180.000000,bottom
"D5","B0540WS","D_SOD-323",231.000000,-97.000000,-90.000000,bottom
"J1","1x4 socket","PinSocket_1x04_P2.54mm_Vertical",229.540000,-87.000000,90.000000,bottom
"J2","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",218.000000,-104.500000,180.000000,bottom
"L2","2n2","L_0402_1005Metric",223.113984,-96.500000,0.000000,bottom
"R1","4.7k","R_0402_1005Metric",217.000000,-92.000000,180.000000,bottom
"R2","4.7k","R_0402_1005Metric",217.000000,-90.000000,180.000000,bottom
"R4","5k1","R_0402_1005Metric",213.510000,-98.500000,180.000000,bottom
"R5","5k1","R_0402_1005Metric",219.000000,-98.000000,0.000000,bottom
"R6","1k","R_0402_1005Metric",234.500000,-90.000000,180.000000,bottom
"R7","470R","R_0402_1005Metric",225.000000,-103.500000,180.000000,bottom
"R8","2k","R_0402_1005Metric",225.000000,-98.213989,180.000000,bottom
"SW1","SW_SPDT_MSM","SW_SPDT_Shouhan_MSK12C02",235.500000,-101.000000,-90.000000,bottom
"U3","SHT4x","Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad",260.504823,-94.833384,180.000000,bottom
"U4","USBLC6-2SC6","SOT-23-6",219.500000,-95.000000,90.000000,bottom
"U5","SPX3819M5-L-3-3","SOT-23-5",227.500000,-94.000000,180.000000,bottom
"U6","MCP73831-2-MC","DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm",226.925000,-101.150000,180.000000,bottom
