Ref,Val,Package,PosX,PosY,Rot,Side
"40MHz","40MHz","Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm",217.500000,-86.500000,90.000000,top
"ANT1","ANT3216LL00R2400A","ANT3216LL00R2400A",201.372407,-92.691851,180.000000,top
"C1","10u","C_0402_1005Metric",215.500000,-88.500000,0.000000,top
"C2","100n","C_0402_1005Metric",218.500000,-99.000000,90.000000,top
"C3","100n","C_0402_1005Metric",223.000000,-98.500000,90.000000,top
"C4","100n","C_0402_1005Metric",215.500000,-90.000000,0.000000,top
"C5","100n","C_0402_1005Metric",215.500000,-92.000000,0.000000,top
"C6","100n","C_0402_1005Metric",214.618356,-94.802158,0.000000,top
"C7","10u","C_0402_1005Metric",219.500000,-100.500000,90.000000,top
"C9","10u","C_0402_1005Metric",227.500000,-98.500000,180.000000,top
"C10","100n","C_0402_1005Metric",225.000000,-98.500000,90.000000,top
"C11","10p","C_0402_1005Metric",217.980000,-89.000000,0.000000,top
"C12","10p","C_0402_1005Metric",220.520000,-90.000000,0.000000,top
"C20","100n","C_0402_1005Metric",215.500000,-96.500000,180.000000,top
"C21","100n","C_0402_1005Metric",221.000000,-100.000000,-90.000000,top
"C22","3p3","C_0402_1005Metric",213.000000,-93.210006,-90.000000,top
"C23","3p3","C_0402_1005Metric",208.212065,-93.162901,-90.000000,top
"J3","1x2 socket","PinSocket_1x02_P2.54mm_Vertical",228.750000,-105.525000,-90.000000,top
"L1","2n2","L_0402_1005Metric",215.500000,-93.500000,0.000000,top
"L3","2n2","L_0402_1005Metric",210.501372,-92.710693,180.000000,top
"R3","22k","R_0402_1005Metric",218.500000,-90.000000,0.000000,top
"R9","5k1","R_0402_1005Metric",216.510000,-99.000000,180.000000,top
"R10","5k1","R_0402_1005Metric",223.000000,-104.000000,0.000000,top
"SW2","SW_Push","SW_Push_1P1T-SH_NO_CK_KMR2xxG",210.500000,-103.950000,-90.000000,top
"SW3","SW_Push","SW_Push_1P1T-SH_NO_CK_KMR2xxG",227.000000,-101.500000,180.000000,top
"U1","ESP32-C3","QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm",220.000000,-94.500000,0.000000,top
"U2","W25Q32JVZP","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm",228.000000,-93.650000,-90.000000,top
