"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC"
"ANT1","1","ANT3216LL00R2400A","","","","KiCad:ANT3216LL00R2400A","https://eu.mouser.com/datasheet/2/336/datasheet_ant3216ll00r2400a_v1_1617827483-2529684.pdf","C293767"
"C1,C7,C9,C15,C17","5","10u","","","","Capacitor_SMD:C_0402_1005Metric","~","C15525"
"C2,C3,C4,C5,C6,C8,C10,C13,C14,C16,C20,C21","12","100n","","","","Capacitor_SMD:C_0402_1005Metric","~","C1525"
"C11,C12","2","10p","","","","Capacitor_SMD:C_0402_1005Metric","~","C1545"
"C18,C19","2","4.7u","","","","Capacitor_SMD:C_0402_1005Metric","~","C23687"
"C22,C23","2","3p3","","","","Capacitor_SMD:C_0402_1005Metric","~","C1565"
"Crystal_GND24","1","40MHz","","","","Oscillator:Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm","~","C9010"
"D1,D2","2","LED","","","","LED_SMD:LED_0402_1005Metric","~","C74338"
"D3,D5","2","B0540WS","","","","Diode_SMD:D_SOD-323","~","C98664"
"H1,H2","2","MountingHole","","Wyklucz z BOM","","MountingHole:MountingHole_2.7mm","~",""
"J1","1","1x4 socket","","Wyklucz z BOM","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~",""
"J2","1","USB_C_Receptacle_USB2.0_14P","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","C165948"
"J3","1","1x2 socket","","Wyklucz z BOM","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~",""
"L1,L2,L3","3","2n2","","","","Inductor_SMD:L_0402_1005Metric","~","C76790"
"R1,R2","2","4.7k","","","","Resistor_SMD:R_0402_1005Metric","~","C174177"
"R3","1","22k","","","","Resistor_SMD:R_0402_1005Metric","~","C25547"
"R4,R5,R9,R10","4","5k1","","","","Resistor_SMD:R_0402_1005Metric","~","C22356228,C22356228 "
"R6","1","1k","","","","Resistor_SMD:R_0402_1005Metric","~","C173697"
"R7","1","470R","","","","Resistor_SMD:R_0402_1005Metric","~","C174152"
"R8","1","2k","","","","Resistor_SMD:R_0402_1005Metric","~","C22369189"
"SW1","1","SW_SPDT_MSM","","","","Button_Switch_SMD:SW_SPDT_Shouhan_MSK12C02","~","C2681566"
"SW2,SW3","2","SW_Push","","","","Button_Switch_SMD:SW_Push_1P1T-SH_NO_CK_KMR2xxG","~","C72443"
"U1","1","ESP32-C3","","","","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm","https://www.espressif.com/sites/default/files/documentation/esp32-c3_datasheet_en.pdf","C2838500"
"U2","1","W25Q32JVZP","","","","Package_SON:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm","http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf","C571260"
"U3","1","SHT4x","","","","Sensor_Humidity:Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad","https://sensirion.com/media/documents/33FD6951/624C4357/Datasheet_SHT4x.pdf","C5360602"
"U4","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","C7519"
"U5","1","SPX3819M5-L-3-3","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.exar.com/content/document.ashx?id=22106&languageid=1033&type=Datasheet&partnumber=SPX3819&filename=SPX3819.pdf&part=SPX3819","C9055"
"U6","1","MCP73831-2-MC","","","","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","C150772"
